SDSID,SDSFEATURENAME,SDSFEATUREDESCRIPTION,SDSMETADATAID,DISTANCEMARKCATEGORY,DISTANCEMARKERIDPK,CATDIS,WTWDIS,UNLOCD,HUNITS,SORDAT,DIS_REF,WATERWAY,RULEID,Pool,PoolElev,VertDatum
,,Mississippi River - The river miles were originally digitized from the war department quads of the 1930's.  River mile positions are not from the authorized project design and have been cartographically modified to match the sailing line.,,markNotPhysicallyInstalled,mvrum_4816_rm,1,481.600006099999973,,5,20130522,Confluence with the Ohio River,UPPER MISSISSIPPI,1,16,545.000000000000000,MSL1912
,,Mississippi River - The river miles were originally digitized from the war department quads of the 1930's.  River mile positions are not from the authorized project design and have been cartographically modified to match the sailing line.,,markNotPhysicallyInstalled,mvrum_4801_rm,1,480.100006099999973,,5,20130522,Confluence with the Ohio River,UPPER MISSISSIPPI,1,16,545.000000000000000,MSL1912
,,Mississippi River - The river miles were originally digitized from the war department quads of the 1930's.  River mile positions are not from the authorized project design and have been cartographically modified to match the sailing line.,,markNotPhysicallyInstalled,mvrum_4796_rm,1,479.600006099999973,,5,20130522,Confluence with the Ohio River,UPPER MISSISSIPPI,1,16,545.000000000000000,MSL1912
,,Mississippi River - The river miles were originally digitized from the war department quads of the 1930's.  River mile positions are not from the authorized project design and have been cartographically modified to match the sailing line.,,markNotPhysicallyInstalled,mvrum_4795_rm,1,479.500000000000000,,5,20130522,Confluence with the Ohio River,UPPER MISSISSIPPI,1,16,545.000000000000000,MSL1912
,,Mississippi River - The river miles were originally digitized from the war department quads of the 1930's.  River mile positions are not from the authorized project design and have been cartographically modified to match the sailing line.,,markNotPhysicallyInstalled,mvrum_4789_rm,1,478.899993900000027,,5,20130522,Confluence with the Ohio River,UPPER MISSISSIPPI,1,16,545.000000000000000,MSL1912
,,Mississippi River - The river miles were originally digitized from the war department quads of the 1930's.  River mile positions are not from the authorized project design and have been cartographically modified to match the sailing line.,,markNotPhysicallyInstalled,mvrum_4787_rm,1,478.700012210000011,,5,20130522,Confluence with the Ohio River,UPPER MISSISSIPPI,1,16,545.000000000000000,MSL1912
,,Mississippi River - The river miles were originally digitized from the war department quads of the 1930's.  River mile positions are not from the authorized project design and have been cartographically modified to match the sailing line.,,markNotPhysicallyInstalled,mvrum_4778_rm,1,477.799987789999989,,5,20130522,Confluence with the Ohio River,UPPER MISSISSIPPI,1,16,545.000000000000000,MSL1912
,,Mississippi River - The river miles were originally digitized from the war department quads of the 1930's.  River mile positions are not from the authorized project design and have been cartographically modified to match the sailing line.,,markNotPhysicallyInstalled,mvrum_4777_rm,1,477.700012210000011,,5,20130522,Confluence with the Ohio River,UPPER MISSISSIPPI,1,16,545.000000000000000,MSL1912
,,Mississippi River - The river miles were originally digitized from the war department quads of the 1930's.  River mile positions are not from the authorized project design and have been cartographically modified to match the sailing line.,,markNotPhysicallyInstalled,mvrum_4772_rm,1,477.200012210000011,,5,20130522,Confluence with the Ohio River,UPPER MISSISSIPPI,1,16,545.000000000000000,MSL1912
,,Mississippi River - The river miles were originally digitized from the war department quads of the 1930's.  River mile positions are not from the authorized project design and have been cartographically modified to match the sailing line.,,markNotPhysicallyInstalled,mvrum_4769_rm,1,476.899993900000027,,5,20130522,Confluence with the Ohio River,UPPER MISSISSIPPI,1,16,545.000000000000000,MSL1912
